2023-04-30T15:59:35+00:00 CRITICAL syntax error, unexpected '}', expecting end of file(/home/961761.cloudwaysapps.com/akcbjbwtdb/public_html/wp-content/themes/astra-child/functions.php, 줄 98)

2023-04-30T15:59:37+00:00 CRITICAL syntax error, unexpected '}', expecting end of file(/home/961761.cloudwaysapps.com/akcbjbwtdb/public_html/wp-content/themes/astra-child/functions.php, 줄 98)

2023-04-30T15:59:40+00:00 CRITICAL syntax error, unexpected '}', expecting end of file(/home/961761.cloudwaysapps.com/akcbjbwtdb/public_html/wp-content/themes/astra-child/functions.php, 줄 98)

2023-04-30T15:59:40+00:00 CRITICAL syntax error, unexpected '}', expecting end of file(/home/961761.cloudwaysapps.com/akcbjbwtdb/public_html/wp-content/themes/astra-child/functions.php, 줄 98)

2023-04-30T15:59:40+00:00 CRITICAL syntax error, unexpected '}', expecting end of file(/home/961761.cloudwaysapps.com/akcbjbwtdb/public_html/wp-content/themes/astra-child/functions.php, 줄 98)

2023-04-30T15:59:42+00:00 CRITICAL syntax error, unexpected '}', expecting end of file(/home/961761.cloudwaysapps.com/akcbjbwtdb/public_html/wp-content/themes/astra-child/functions.php, 줄 98)

2023-04-30T15:59:42+00:00 CRITICAL syntax error, unexpected '}', expecting end of file(/home/961761.cloudwaysapps.com/akcbjbwtdb/public_html/wp-content/themes/astra-child/functions.php, 줄 98)

2023-04-30T15:59:48+00:00 CRITICAL syntax error, unexpected '}', expecting end of file(/home/961761.cloudwaysapps.com/akcbjbwtdb/public_html/wp-content/themes/astra-child/functions.php, 줄 98)

2023-04-30T15:59:48+00:00 CRITICAL syntax error, unexpected '}', expecting end of file(/home/961761.cloudwaysapps.com/akcbjbwtdb/public_html/wp-content/themes/astra-child/functions.php, 줄 98)

2023-04-30T15:59:50+00:00 CRITICAL syntax error, unexpected '}', expecting end of file(/home/961761.cloudwaysapps.com/akcbjbwtdb/public_html/wp-content/themes/astra-child/functions.php, 줄 98)

2023-04-30T15:59:50+00:00 CRITICAL syntax error, unexpected '}', expecting end of file(/home/961761.cloudwaysapps.com/akcbjbwtdb/public_html/wp-content/themes/astra-child/functions.php, 줄 98)

2023-04-30T15:59:51+00:00 CRITICAL syntax error, unexpected '}', expecting end of file(/home/961761.cloudwaysapps.com/akcbjbwtdb/public_html/wp-content/themes/astra-child/functions.php, 줄 98)

2023-04-30T15:59:51+00:00 CRITICAL syntax error, unexpected '}', expecting end of file(/home/961761.cloudwaysapps.com/akcbjbwtdb/public_html/wp-content/themes/astra-child/functions.php, 줄 98)

2023-04-30T15:59:51+00:00 CRITICAL syntax error, unexpected '}', expecting end of file(/home/961761.cloudwaysapps.com/akcbjbwtdb/public_html/wp-content/themes/astra-child/functions.php, 줄 98)

2023-04-30T15:59:52+00:00 CRITICAL syntax error, unexpected '}', expecting end of file(/home/961761.cloudwaysapps.com/akcbjbwtdb/public_html/wp-content/themes/astra-child/functions.php, 줄 98)

